listing_number,price,beds,baths,sq_ft,description,key_details,walkscore
9221847,990000,6,2,2612,"This spacious and meticulously maintained home is located in the highly sought-after West Roxbury neighborhood. A stunning double-wide door entry opens into a large living space featuring luxurious hardwood floors, seamlessly connecting a formal living room with a beautiful bay window to an elegant dining room adorned with a sparkling chandelier. The expansive eat-in kitchen, flooded with natural light, offers ample space for dining and provides access to a private covered porch and mudroom. The finished family room boasts a charming brick fireplace, perfect for cozy evenings at home. A potential in-law suite or separate living area includes a second kitchen, full bathroom, and additional bedrooms, ideal for accommodating extended family. The low-maintenance vinyl siding enhances the curb appeal in this peaceful neighborhood, which offers convenient access to schools, public transportation, shopping, restaurants, and scenic walking, hiking, and dog trails.","Clock: 9 days on Redfin; House: Single-family; Wrench: Built in 1974; Fence: 6,400 sq ft lot; Ruler: $379 per sq ft; Car: 6 parking spaces; Temperature: Has A/C; Washer: In-unit laundry (washer and dryer); New construction: Boston",Walk: 52/100 Somewhat Walkable | Transit: 41/100 Some transit | Bike: 50/100 Bikeable
191446200,985000,3,2.5,2544,"Spectacular, Newer Construction Masterpiece on coveted Whitford Street! This builder's personal home was crafted with luxurious fixtures & finishes, every detail has been thoughtfully considered to the highest standards. This signature home offers a stunning & astutely designed interior with multiple living levels creating a perfect blend for entertaining, modern-day living & intimate private space! A Chef's dream European-styled kitchen with dual ovens, gas cooktop & pot filler! First-floor private office with granite counters, dining room with bay & living room with gas fireplace! 2nd floor offers a grand bedroom suite on two levels with a spa-like bath, curbless shower w/Riobel fixtures & body sprays! Custom walk-in closet with barn door & 3rd floor offers a private balcony with commanding treetop views! Efficient hydro-air HVAC & radiant floor heating throughout! Direct entry 2-car heated garage! Only minutes to the Village with many restaurants, shops & easy Commuter Rail access!","Clock: 9 days on Redfin; House: Single-family; Wrench: Built in 2020; Fence: 4,452 sq ft lot; Ruler: $387 per sq ft; Car: 2 garage spaces (5 total); Temperature: Has A/C; New construction: Roslindale",Walk: 80/100 Very Walkable | Transit: 60/100 Good transit | Bike: 42/100 Somewhat bikeable
193091995,649999,3,2,1358,"Welcome home to a beautifully updated 3-bed, 2-bath townhouse ideally situated in a tranquil pocket of Hyde Park. This inviting home boasts 1,358 sqft of comfortable living space, perfect for families or professionals seeking proximity to Boston while enjoying suburban serenity.Upon entering, you're greeted by the rich glow of thick hardwood floors and elegant recessed lighting that accentuates the open-concept design, perfect for entertaining guests. The modern kitchen features sleek granite countertops paired with a stainless steel appliance package, ensuring both style and functionality.The fully finished basement offers additional living space and includes a washer and dryer for your convenience. Plus, the potential-filled attic provides ample storage space or the opportunity for future expansion. Step outside to enjoy the privacy of your own yard, or take a moment on the spacious front and back porches. Also no formal HOA and no dues, this property represents exceptional value!",Clock: 9 days on Redfin; Townhouse: Townhome; Wrench: Built in 1910; Ruler: $479 per sq ft; Car: 3 parking spaces; Temperature: Has A/C; Washer: In-unit laundry (washer and dryer); New construction: Boston,Walk: 63/100 Somewhat Walkable | Transit: 54/100 Good transit | Bike: 57/100 Bikeable
8987361,720000,2,2.5,1145,"Ready for immediate occupancy, this sun-filled duplex penthouse offers 2 bedrooms, 2.5 baths with modern finishes. Open layout living and dining area with a fireplace and a private balcony. The updated kitchen features microwave hood, dishwasher, refrigerator and a gas range. Upstairs, the spacious Master Suite includes an en-suite bathroom with jacuzzi tub, a fireplace, and double closets. The guest bedroom is spacious enough for a queen bed and desk. Central A/C, in-unit laundry, and one deeded garage parking space. Pet-friendly. Building amenities include indoor pool, roof deck, fitness center, racquet ball court, and extra storage. Walking distance to Warren Street green line MBTA, Allston Village restaurants and cafes, St. Elizabeth medical center. Easy access to Boston College and Boston University.",Clock: 9 days on Redfin; Condo: Condo; Wrench: Built in 1988; Ruler: $629 per sq ft; High end tour: $579 monthly HOA fee; Car: 1 garage spaces (2 total); Temperature: Has A/C; Washer: In-unit laundry (washer and dryer); New construction: Allston,Walk: 91/100 Walker's Paradise | Transit: 64/100 Good transit | Bike: 63/100 Bikeable
113747534,699000,2,2,983,"Tired of looking at the same cookie cutter condos in big buildings with crazy condo fees? Are you looking for a quiet city retreat on a dead end street? Come experience the Stonybrook area of Jamaica Plain. Completed in 2017, this two bedroom, two bathroom condo is drenched in natural sunlight. Upon entering you are greeted with an open floor concept, tall ceilings, luxury finishes and maple floors throughout. Tired of circling the block looking for parking? Unit 2 has it's own deeded off street parking spot, and a massive storage area in the basement, and the ease of in-unit laundry. Come check out the hottest neighborhood in Jamaica Plain; Stonybrook! With luxury developments popping up all over, this is a smart investment that will see rapid grow in the next 5 years! Plainfield Street is steps from Franklin Park, the Southwest Corridor Bike Path, less than a mile from the Arnold Arboretum and JP's iconic Centre Street. Come see this property before it's gone!",Clock: 9 days on Redfin; Condo: Condo; Wrench: Built in 2017; Ruler: $711 per sq ft; High end tour: $203 monthly HOA fee; Car: 1 parking space; Temperature: Has A/C; New construction: Jamaica Plain,Walk: 74/100 Very Walkable | Transit: 82/100 Excellent transit | Bike: 90/100 Biker's paradise
9089695,999950,9,3,3480,"*Offers Due Tuesday, Oct. 21, at 6pm* Introducing this quintessential Dorchester triple-decker on a tree-lined one-way street and near Ashmont T Station. For seasoned and new investors alike, this roomy triple-decker will be a great addition to any investment portfolio. Each unit is currently being used as a 3 bedroom apartment and has hardwood flooring, outdoor spaces and occupied with Tenants At Will. Property to be sold fully occupied and in as-is condition. De-lead certificates are in-hand. Convenient access to restaurants, local parks, public transportation & Red- Line T-station, highway access and local shopping. This property has tremendous rental potential & opportunity to condo-convert. First showing Thursday, Oct. 17th from 6-7pm.","Clock: 10 days on Redfin; Multi family: Multi-family (2-4 unit); Wrench: Built in 1905; Fence: 3,710 sq ft lot; Ruler: $287 per sq ft; New construction: Dorchester",Walk: 79/100 Very Walkable | Transit: 80/100 Excellent transit | Bike: 46/100 Somewhat bikeable
184580152,995000,2,2.5,1130,"New in 2020 this 2-bed, 2.5-bath Penthouse Duplex on the 5th/6th floors has skyline city views from every room! Enjoy a bright, open layout featuring a modern kitchen with two-tone cabinetry, Fisher & Paykel paneled appliances, quartz countertops, a large island, and pantry closet. The living and dining areas, complete with a chandelier, balcony and half bath, offer the perfect space for entertaining. Upstairs, find the primary suite with an ensuite bath and walk-in closet, plus a spacious guest room, guest bath and in-unit laundry. Custom motorized blinds throughout and ample storage. This professionally managed building offers a heated garage parking space, a basement storage cage, video intercom system, and a shared roof deck with a gas grill. Just blocks from South End favorites like Toro, Flour, and Ilona, with easy access to Northeastern, Boston Medical Center, and the Silver Line T. The perfect combination of style, convenience, and location. Everything you need for city living!",Clock: 11 days on Redfin; Condo: Condo; Wrench: Built in 2020; Ruler: $881 per sq ft; High end tour: $624 monthly HOA fee; Car: 1 garage space; Temperature: Has A/C; Washer: In-unit laundry (washer and dryer); New construction: South End,Walk: 94/100 Walker's Paradise | Transit: 89/100 Excellent transit | Bike: 97/100 Biker's paradise
193057743,599000,2,1,1102,"Best Value New Construction 2 bedroom in Boston. The LAUREL RESIDENCES, West Roxbury’s newest luxury condominium over 40% SOLD. This boutique luxury building features modern contemporary design by a noted architect and is finished with the highest quality materials and craftsmanship. Offering 17 oversized one and two bedroom residences that are well-designed with unique floor plans and abundant natural light. Homes feature open style custom kitchens with quartz breakfast bar, hi-end stainless GE profile appliances and wide plank oak hardwood floors and designer tiled baths. Located in a vibrant residential neighborhood close to Centre Street, with its diverse array of shops and restaurants, and walking distance to local Parks. Ideal commuter location with easy access to commuter rail, Rt. 128 & 95 and Legacy Place. Building features, lobby lounge, elevator, and garage parking with EV charging station and bike storage. Unit #304 is best value 2 bed in building 1,100SF with parking",Clock: 11 days on Redfin; Condo: Condo; Wrench: Built in 2024; Ruler: $544 per sq ft; High end tour: $269 monthly HOA fee; Car: 1 garage spaces (2 total); Temperature: Has A/C; Washer: In-unit laundry (washer and dryer); New construction: West Roxbury,Walk: 74/100 Very Walkable | Transit: 41/100 Some transit | Bike: 47/100 Somewhat bikeable
138370480,539000,3,1.5,1240,"For the first time in 20 years, 14 Robey St in Roxbury is on the market! This 3-bedroom, 2-bathroom condo offers 1,240 square feet of living space across two levels, providing ample room for relaxation and entertainment. The second floor features a primary bedroom with double closets, two additional bedrooms, and a full bath. The kitchen is outfitted with stainless steel appliances, while newer carpets and fresh paint throughout give the home a move-in-ready feel. Enjoy your own private outdoor space with a fenced yard, patio, and deck off the dining room, perfect for gatherings or quiet moments. Additional perks include garage parking, as well as a basement for extra storage or potential expansion. Located less than 3 miles from major Boston hospitals and with easy access to Carson Beach, South Bay Shopping Center, public transportation, restaurants, and I-93, this home combines convenience and comfort. No condo fee! Experience urban living at its best in this Roxbury townhouse.","Clock: 11 days on Redfin; Townhouse: Townhome; Wrench: Built in 2003; Fence: 5,227 sq ft lot; Ruler: $435 per sq ft; Car: 1 garage spaces (2 total); Washer: In-unit laundry (washer and dryer); New construction: Roxbury",Walk: 80/100 Very Walkable | Transit: 68/100 Good transit | Bike: 58/100 Bikeable
193053949,740000,3,2.5,1711,"Wow, presenting recently constructed 1 of 8 Townhouse units with 2 car tandem garage under, which features 3 beds, 2.5 baths, bright open floor plan with hardwood, Calacatta Quartz Stone counter tops, Kitchen Aid stainless appliances, LG oversized cloth washer, dryer and LED recessed lighting. Steps to Cleary Square, restaurants, super market, close to the Highway, MBTA, Schools, Parks, Stores and short walk to commuter station. NOT APPROVED FOR VA LOANS.",Clock: 11 days on Redfin; Townhouse: Townhome; Wrench: Built in 2020; Ruler: $432 per sq ft; High end tour: $301 monthly HOA fee; Car: 2 garage spaces (4 total); Temperature: Has A/C; Washer: In-unit laundry (washer and dryer); New construction: Hyde Park,Walk: 88/100 Very Walkable | Transit: 58/100 Good transit | Bike: 50/100 Bikeable
12431501,588000,2,1,1180,"Spacious and stylish 2-3 bedroom top-floor condo located in the desirable Melville Park/Fields Corner area. Sunny, bright and freshly painted, this unit is move-in ready with original charm and all the modern updates you’re looking for. The home features a living room with a large rounded bay, a dining room with bay window and a leaded glass china cabinet, 2 generous bedrooms, and a den/3rd bedroom with a closet and French doors. The updated kitchen has a decorative tin ceiling, recessed lighting, white Shaker cabinets, quartz counters, a marble backsplash, new SS appliances, and a pantry. The modern bathroom features a large walk-in shower. There are beautiful wood floors, an in-unit laundry area, private front and rear porches and off street parking. Just a short walk to the Red Line (easy access to downtown, U Mass & Cambridge), shops, restaurants, cafes and brand new book store.","Clock: 11 days on Redfin; Condo: Condo; Wrench: Built in 1905; Fence: 6,712 sq ft lot; Ruler: $498 per sq ft; High end tour: $347 monthly HOA fee; Car: 1 parking space; Washer: Washer and dryer hookups; New construction: Dorchester",Walk: 91/100 Walker's Paradise | Transit: 71/100 Excellent transit | Bike: 66/100 Bikeable
12442928,1525000,2,2,1240,"Ideally situated on the border of the South End and Back Bay, Unit 407 at 285 Columbus is a sun-splashed, south-facing 2-bed, 2-bath condo in a boutique elevator building. A gracious entryway with a coat closet welcomes you into the front-facing open-concept kitchen, dining, and living area. The living room features a wall of windows that frame quintessential South End rooftop views, seamlessly flowing into a spacious dining area and the kitchen equipped with stainless steel appliances, and generous counter space. The primary bed offers plantation shutters, an office nook, huge custom closets, leading to an en-suite bath. A second bedroom and full bath round out this exceptional unit. Upgrades include wide-plank white oak engineered hardwood floors and a new washer/dryer. Enjoy iconic Boston vistas from the common roof deck. Convenient access to the best restaurants, shopping, public transport, and highways, with rental parking that both Back Bay and South End has to offer.","Clock: 12 days on Redfin; Condo: Condo; Wrench: Built in 1925; Fence: 1,240 sq ft lot; Ruler: $1,230 per sq ft; High end tour: $1,070 monthly HOA fee; Car: 1 parking space; Temperature: Has A/C; New construction: South End",Walk: 99/100 Walker's Paradise | Transit: 98/100 Rider's paradise | Bike: 91/100 Biker's paradise
9315329,629000,1,1,485,"Charming historic condo located at 34 Garden St in Beacon Hill, MA. This beautiful brownstone corner garden condo features 1 bed, 1 bath with lots of natural light and high ceilings. Soaring view from the roof deck and private entrance off Phillips Street make this property one of a kind. The condo also includes washer and dryer along with 2 separate storage closets to hold your bike or other personal items. Updated kitchen and bath include new marble counter tops, marble backsplash and new marble floors. The character and unique details in this property provide a perfect blend of old-world charm and modern amenities. Don't miss the opportunity to own a piece of Boston's rich history in the heart of Beacon Hill.","Clock: 12 days on Redfin; Condo: Condo; Wrench: Built in 1899; Ruler: $1,297 per sq ft; High end tour: $425 monthly HOA fee; Temperature: Has A/C; Washer: In-unit laundry (washer and dryer); New construction: Beacon Hill",Walk: 99/100 Walker's Paradise | Transit: 100/100 Rider's paradise | Bike: 76/100 Very bikeable
193046116,525000,1,1,733,"Introducing the Residences at 4459 Washington Street! These exciting new construction condominium units are ideally located in the trendy and vibrant neighborhood of Roslindale. Gorgeous, sun filled open floor plan designed for contemporary living and entertaining. Shaker cabinetry kitchens with quartz countertop and stainless appliances, and designer tiled bath, in unit washer and dryer, and private enclosed patio make this condominium a perfect choice for those who are interested in the convenience of Boston with a hint of suburbia. A short walk to vibrant Roslindale Village with offering interesting dining and shopping options. Enjoy the convenience of the Metropolitan Hill Area in close proximity to multiple public transportation options, including the Roslindale Village commuter rail station. Also nearby, Target, Roche Bros, the Farmer's Market and the local Boston Public Library! This neighborhood is also location perfect for those commuting to the Longwood Medical Area!",Clock: 12 days on Redfin; Condo: Condo; Ruler: $716 per sq ft; High end tour: $145 monthly HOA fee; Car: 1 parking space; Temperature: Has A/C; Washer: In-unit laundry (washer and dryer); New construction: Roslindale,Walk: 87/100 Very Walkable | Transit: 56/100 Good transit | Bike: 55/100 Bikeable
9252893,1485000,2,1,1560,"Exceptional loft in the vibrant Fort Point neighborhood at Dockside Place with deeded parking! This spacious 2-bed, 2-bath condominium offers more than 1,500 SF of living space on the 6th floor of the professionally managed elevator building. With soaring ceilings, in-unit washer/dryer, deeded parking, and private outdoor space offering lovely city views, this is an exceptional loft home. This penthouse unit is highly desirable given its orientation in the building and exceptional skylights and outdoor space. Enjoy a vibrant neighborhood near the Seaport, Waterfront, and Downtown Boston. This stunning brick and beam loft is not to be missed!","Clock: 12 days on Redfin; Condo: Condo; Wrench: Built in 1911; Fence: 1,593 sq ft lot; Ruler: $952 per sq ft; High end tour: $882 monthly HOA fee; Car: 1 parking space; Temperature: Has A/C; Washer: In-unit laundry (washer and dryer); New construction: Fort Point",Walk: 91/100 Walker's Paradise | Transit: 100/100 Rider's paradise | Bike: 80/100 Very bikeable
171787744,1375000,1,1,658,"RARELY AVAILABLE SOUTH FACING upper floor level 1-bed @ PIERCE BOSTON, Fenway’s ultra-luxury 5 STAR FULL SERVICE high-rise inclusive of 24/7 CONCIERGE, Porter, 20,000+SF across 3 floors of amenities spaces: 2,500SF fitness + yoga room, 30th floor ROOFTOP POOL/SPA, exclusive access to rooftop grill & deck, cocktail lounge, library, private dining, arcade room, PET SPA, & more. 27F boasts extra tall ceilings, floor to ceiling windows w/ ample natural light, downtown Boston views, quartz waterfall island, built-in pantry, chandelier, WOLF AND SUBZERO appliances, Bosch W/D, custom roller shades and built-in wardrobes. Steps away from coffee shops, restaurants, FENWAY PARK, Target, TimeOut Market, movie theater, LONGWOOD MEDICAL AREA, MFA, MGM MUSIC HALL, biotech offices, cultural attractions, shopping, and more. Garage parking available for rent. Deeded storage unit available for purchase at additional price. Living room and bedroom are virtually staged. Video available @ PIERCE27F. COM","Clock: 12 days on Redfin; Condo: Condo; Wrench: Built in 2018; Ruler: $2,090 per sq ft; High end tour: $891 monthly HOA fee; Temperature: Has A/C; Washer: In-unit laundry (washer and dryer); New construction: The Fenway",Walk: 97/100 Walker's Paradise | Transit: 91/100 Rider's paradise | Bike: 92/100 Biker's paradise
12431897,575000,2,1,975,"Welcome to the heart of Popes Hill, the epitome of beauty, convenience, and desirability within Dorchester. Step into 132 King St, double bow style unit designed for entertaining. This first-floor unit boasts a beautiful entryway, updated bathroom, and kitchen complete with great counterspace, custom cabinetry, and stainless-steel appliances. The unit features recessed beautiful board & batten, wainscoting, and crown molding throughout.  Private rear deck, storage area and dedicated laundry in basement. Strong condo association with many recent improvements including new siding (2021) and brand-new roof being installed (2024).  Experience the vibrant lifestyle of Popes Hill with easy access to Dorchester’s finest bars and restaurants, including the newest additions to the neighborhood scene such as Chubbs, Landmark, Lucy’s, Molinaris, and The Eire Pub.",Clock: 12 days on Redfin; Condo: Condo; Wrench: Built in 1905; Ruler: $590 per sq ft; High end tour: $300 monthly HOA fee; Temperature: Has A/C; Washer: Washer hookup; New construction: Dorchester,Walk: 70/100 Very Walkable | Transit: 61/100 Good transit | Bike: 50/100 Bikeable
193045406,789000,3,2,1153,"Ask about the special financing offer! Discover luxury living & value in Orient Heights. Perched atop Orient Ave, this stunning 3-bed, 2-bath condo offers an unparalleled East Boston experience. Part of a brand-new, low-maintenance renovation, this 1153 sq ft haven blends modern elegance with breathtaking views. Step onto your massive back deck & be mesmerized by panoramic ocean views, airport action, & seasonal city skylines. Inside, an open floor plan showcases gleaming floors, recessed lighting, and a gourmet kitchen with gas cooking, stainless steel appliances, & an oversized peninsula. The primary suite boasts a walk-in closet & a beautiful ensuite bathroom with plenty of storage. 2 additional bedrooms provide ample space for family, guests, or a home office. Enjoy two deeded off-street parking spaces. Perfectly positioned just 0.5 miles from Orient Heights T stop and less than a mile from Constitution Beach. Easy access to public transit, shopping, & coastal recreation.","Clock: 12 days on Redfin; Condo: Condo; Wrench: Built in 1920; Fence: 7,500 sq ft lot; Ruler: $684 per sq ft; High end tour: $200 monthly HOA fee; Car: 2 parking spaces; Temperature: Has A/C; Washer: In-unit laundry (washer and dryer); New construction: East Boston's Orient Heights",Walk: 59/100 Somewhat Walkable | Transit: 60/100 Good transit | Bike: 31/100 Somewhat bikeable
193045295,1095000,4,2,1492,"An outstanding Single Family opportunity! Perfect 4 Bedroom, 2 full bath with great living & dining space and a private patio! Absolutely move-in ready property. Close to Doherty Park, the new Clougherty pool, Monument Square & Harvard/Kent Elementary. Perennial gardens welcome you at your front door. Thoughtfully designed and easy to maintain. Many tasteful updates: renovated eat-in kitchen with Blanco Statuareto quartz countertops, brand new high-end stainless steel appliances, luxury carpeting and freshly painted. Entertainment sized living, dining & patio space! Rare first floor bedroom for you or guests and relatives. Nearby full bath with W/D. Private enclosed brick patio offers plenty of light, wonderful for relaxing and al fresco dining. Generous storage in the basement. You are two blocks from The Monument, 3 blocks from Brewer's Fork/Waverly Restaurants, 0.5 mi to The Navy Yard, Pier 6, Warren Tavern, Prima, Tatte, Whole Foods, the Orange Line & 93. Great for investors too!","Clock: 12 days on Redfin; House: Single-family; Wrench: Built in 1900; Fence: 1,251 sq ft lot; Ruler: $734 per sq ft; Washer: In-unit laundry (washer and dryer); New construction: Charlestown",Walk: 90/100 Walker's Paradise | Transit: 57/100 Good transit | Bike: 72/100 Very bikeable
186204864,480000,1,1,435,"Well sought investment opportunity at Beacon Hill. Conveniently located directly across Mass General Hospital, the Footbridge to the Scenic Charles River Esplanade, MBTA Charles/MGH Red Line, Whole Foods Market along with many nearby restaurants. Ideal for owner occupants or investment opportunity! This property won't last.","Clock: 12 days on Redfin; Condo: Condo; Wrench: Built in 1899; Fence: 435 sq ft lot; Ruler: $1,103 per sq ft; High end tour: $326 monthly HOA fee; New construction: Beacon Hill",Walk: 98/100 Walker's Paradise | Transit: 99/100 Rider's paradise | Bike: 76/100 Very bikeable
190785830,1899000,8,4,2288,"Completely renovated and fully leased multi family located in the desirable Mission Hill neighborhood. This turnkey investment property features two 4 bedroom apartments, each with two baths, new granite kitchens, open layouts, and central heat & a/c. The rear decks and large private yard have views of the Boston skyline. The total monthly rent is $10,800, including a large driveway and oversized garage for parking. Being located near Longwood Medical area, Green and Orange T lines, and several area colleges make this a stable and excellent investment property.","Clock: 12 days on Redfin; Multi family: Multi-family (2-4 unit); Wrench: Built in 1930; Fence: 4,367 sq ft lot; Ruler: $830 per sq ft; Car: 2 garage spaces (7 total); Temperature: Has A/C; Washer: In-unit laundry (washer and dryer); New construction: Mission Hill",Walk: 74/100 Very Walkable | Transit: 89/100 Excellent transit | Bike: 67/100 Bikeable
9280868,4150000,4,2.5,2937,"Located in the heart of Boston’s South End, 16 Milford St. contains 2,937 livable square feet with an additional 760 square feet of unfinished walk-out basement space. The single-family brownstone has 4 bedrooms, 2.5 bathrooms, a floor-through living / dining space, a floor-through kitchen with an end cap breakfast nook, and two multi-purpose bonus rooms. There is a two-level outdoor patio space in the rear of the building, currently home to a vibrant garden. Built in the mid-19th century, the parlor level retains well-maintained original crown moldings in an elegant foliage pattern. The central air conditioning is delivered through a high-velocity duct system, and a high-efficiency boiler serves the baseboard heating system. Three of the home’s seven fireplaces are functioning, the balance of which are used as chases to vertically distribute the HVAC. The original fir floors are stained a rich dark brown. The home has been well-maintained by the same architect couple for 35+ years.","Clock: 12 days on Redfin; House: Single-family; Wrench: Built in 1890; Fence: 1,473 sq ft lot; Ruler: $1,413 per sq ft; Temperature: Has A/C; Washer: In-unit laundry (washer and dryer); New construction: Eight Streets Neighborhood",Walk: 99/100 Walker's Paradise | Transit: 94/100 Rider's paradise | Bike: 87/100 Very bikeable
12439573,1170000,2,2,1156,"Check out the Custom House Tower views from this rarely available 2BR corner unit in the prestigious Folio building! Enjoy 24/7 concierge, on-site manager and super. The open kitchen features granite counters, upgraded stainless appliances, and ample cabinet space. Large windows flood the unit with natural light. Two generous bedrooms share 2 baths in this meticulously maintained home. Primary bedroom has an ensuite marble bath, double sinks, and large soaking tub. In-unit laundry and deeded extra storage space. Located one block from Boston Harbor, where the Waterfront and Financial District neighborhoods converge. The Greenway provides quick access to the North End and Seaport. Commuters enjoy easy access to Rt 93, Mass Pike, and multiple MBTA stations. On-site, heated garage parking available separately for purchase or rent. Well-funded HOA with a fee that covers all utilities except electricity ($75/month), including central heat and A/C. Don't miss out on this unique opportunity!","Clock: 12 days on Redfin; Condo: Condo; Wrench: Built in 2006; Fence: 1,156 sq ft lot; Ruler: $1,012 per sq ft; High end tour: $1,439 monthly HOA fee; Car: 1 garage space; Temperature: Has A/C; Washer: In-unit laundry (washer and dryer); New construction: Boston",Walk: 98/100 Walker's Paradise | Transit: 100/100 Rider's paradise | Bike: 86/100 Very bikeable
114037279,5999999,3,3.5,2286,"Experience luxury waterfront living at its finest in this Spectacular Rarely available 3-bedroom,3.5-bath residence with custom European high-end finishes at 22 Liberty Dr in vibrant Seaport District.This one of a kind exquisite residence features breathtaking views of Rowes Wharf and Harbor,floor-to-ceiling windows with plenty of natural light.Elegant foyer leads into the spacious open-living/dining area that is perfect for entertaining.Beautiful large waterfall island,state-of-the-art appliances,Wolf stove&wall oven,Miele,Subzero,wine chiller.Enjoy the expansive private balcony overlooking City Skyline/Harbor.Primary bedroom features custom-walk-in closet with stunning massive rain shower by Bofi with 2nd shower.2nd bedroom en-suite,3rd bedroom en-suite with custom built-ins,full bath.LED Lutron lighting thru-out unit. 2 car garage parking&storage unit.Amenities,24 hour concierge,fitness center,residence lounge,waterfront terrace.Located near Seaports fine dining,shops,cafes,Airport","Clock: 12 days on Redfin; Condo: Condo; Wrench: Built in 2015; Ruler: $2,625 per sq ft; High end tour: $3,262 monthly HOA fee; Car: 2 garage spaces; Temperature: Has A/C; Washer: In-unit laundry (washer and dryer); New construction: Seaport District",Walk: 86/100 Very Walkable | Transit: 95/100 Rider's paradise | Bike: 73/100 Very bikeable
9292267,1200000,9,4,3900,"Welcome to 21 Marshfield St, Roxbury, MA – a rarely available, fully renovated triplex in one of Boston’s most sought-after neighborhoods. This property is priced to sell and offers ample parking, and large backyard with development potential thanks to its spacious lot. Conveniently located close to the heart of Boston, a world-class city with rich history, culture, and a vibrant community, this home provides easy access to everything the city has to offer. Whether it’s dining**,shopping, or public transit, you’ll find it all just moments away. Close distance to major jobs, Universities, and hospitals. The current owner extensively renovated this triplex, both inside and out, leaving nothing to do but move in and enjoy. The attention to detail is impeccable, making this a turn-key opportunity for investors or homeowners alike. This is a **rare offering** in Roxbury, with its combination of location, space, and potential. Don’t miss out!","Clock: 13 days on Redfin; Multi family: Multi-family (2-4 unit); Wrench: Built in 1889; Fence: 6,609 sq ft lot; Ruler: $308 per sq ft; Car: 3 parking spaces; New construction: Boston",Walk: 84/100 Very Walkable | Transit: 68/100 Good transit | Bike: 57/100 Bikeable
9304878,848888,3,1.5,950,"INVESTMENT OPPORTUNITY!! Stunning 2019 renovation of penthouse corner unit in an amazing central location! This rare 3 bedroom 1.5 bath unit offers the versatility to fit any tenants needs. Unobstructed SW & SE exposures drench this unit with natural light from sunrise to sunset. A modern open concept kitchen flows into the generous living space with beautiful and large window. All 3 bedrooms are a generous size with ample closet space and ceiling fans for added climate control along with central A/C & heat with NEST system. New AC system, new heating system and Anderson windows will keep the utility costs down for tenants. With only a few steps you are on a beautiful and brand new roof deck enjoying breathtaking views of Bostons ever-changing skyline! In unit laundry makes this an ideal unit for the discerning city dweller. Located only steps from BU Medical, The Silver Line, 93 North and South & bus routes that take you directly through Back Bay and Cambridge.",Clock: 13 days on Redfin; Condo: Condo; Wrench: Built in 1910; Ruler: $894 per sq ft; High end tour: $492 monthly HOA fee; Temperature: Has A/C; New construction: South End,Walk: 92/100 Walker's Paradise | Transit: 86/100 Excellent transit | Bike: 98/100 Biker's paradise
193024221,1200000,4,2.5,1616,"Sought after neighborhood, this home has the convenience of city life, while quietly nestled on the hill. This 4 bedroom, 2 1/2 bath Cape, offers flexibilty and potential. The abutted parcel makes the backyard its own oasis. Inside, the first floor offers a remodled kitchen, cozy living room, dining room, bedroom and full bath. Upstairs, 2 additional bedrooms, full bath and an oversized Primary with deck, to enjoy the beautiful days. The basement adds a bonus room for your imagination. A commuter's dream with close access to public transportation, major highways, bike, and walking paths and Arnold Arboretum at the bottom of the hill. This home is perfectly located for convenience, while still maintaining privacy and quiet. You don't want to miss this one!","Clock: 13 days on Redfin; House: Single-family; Wrench: Built in 1950; Fence: 10,541 sq ft lot; Ruler: $743 per sq ft; Car: 1 garage spaces (3 total); Washer: In-unit laundry (washer and dryer); New construction: Jamaica Plain",Walk: 99/100 Walker's Paradise | Transit: 100/100 Rider's paradise | Bike: 86/100 Very bikeable
85680576,3295000,3,3.5,2432,"Welcome to a stunning penthouse triplex in the coveted Eight Streets neighborhood of Boston's South End. Enjoy tree-lined streets with cafes and restaurants just steps away. A longer stroll leads to the Charles River, Boston Public Garden, and Boston Harbor. This upper residence of a two-unit condo in a historic brownstone, renovated in 2013, offers 3 bedrooms, a bonus room, 3.5 bathrooms, and a roof deck with breathtaking skyline views. The first floor features high ceilings, an open living space with a sleek kitchen and a balcony with gas connection for grilling. The primary suite includes a walk-in closet and ensuite bath with a double shower and dual vanity. Bedroom two has an ensuite bath and walk-in closet large enough for a small desk. On the top floor, a sun-filled great room and roof deck create an ideal entertaining space. A third bedroom, full bath, and bonus room complete the terrific floor plan. Two-car tandem parking at Wilkes Passage Garage available at additional price.","Clock: 13 days on Redfin; Condo: Condo; Wrench: Built in 1895; Ruler: $1,355 per sq ft; High end tour: $450 monthly HOA fee; Temperature: Has A/C; Washer: In-unit laundry (washer and dryer); New construction: South End",Walk: 99/100 Walker's Paradise | Transit: 97/100 Rider's paradise | Bike: 84/100 Very bikeable
